,id,teamId,competition
257,180123482,1644,England
258,180123493,1644,England
259,180123894,1659,England
260,180111987,1627,England
261,180112301,1646,England
262,180112512,1646,England
263,180112654,1646,England
264,180112659,1646,England
265,180112759,1646,England
266,180112792,1646,England
267,180112256,1627,England
268,180112973,1646,England
269,180113020,1646,England
270,180112366,1627,England
271,180113089,1646,England
272,180113105,1646,England
273,180112549,1627,England
274,180113181,1646,England
275,180113202,1646,England
276,180112690,1627,England
277,180112781,1627,England
278,180113325,1646,England
279,180113342,1646,England
280,180113386,1646,England
281,180113402,1646,England
282,180113433,1646,England
283,183185681,1613,England
284,183185707,1673,England
285,183185794,1673,England
286,183185823,1673,England
287,183185824,1673,England
288,183185931,1673,England
289,183185883,1613,England
290,183186311,1613,England
291,183186385,1613,England
292,183186666,1673,England
293,183186702,1613,England
294,183186709,1613,England
295,183186766,1613,England
296,183186936,1613,England
297,183186982,1613,England
298,183187086,1613,England
299,183187133,1613,England
300,180118145,1631,England
301,180118147,1631,England
302,180118194,1631,England
303,180118526,1651,England
304,180118354,1631,England
305,180118373,1631,England
306,180118405,1631,England
307,180118853,1651,England
308,180897387,1631,England
309,180118688,1631,England
310,180118705,1631,England
311,180118850,1631,England
312,180119559,1651,England
313,180119095,1631,England
314,180119104,1631,England
315,180119136,1631,England
316,180119593,1651,England
317,180119688,1651,England
318,183181726,1628,England
319,183181732,1612,England
320,183181830,1612,England
321,183182075,1612,England
322,183182164,1612,England
323,183182259,1612,England
324,183182256,1628,England
325,183182527,1612,England
326,183182534,1628,England
327,183182561,1612,England
328,183182608,1612,England
329,183182621,1612,England
330,183182624,1612,England
331,183182782,1612,England
332,183182784,1612,England
333,183182786,1612,England
334,183182829,1612,England
335,183182997,1612,England
336,183183062,1612,England
337,183183144,1612,England
338,183183170,1612,England
339,183183172,1612,England
340,183183173,1612,England
341,183183183,1612,England
342,183183185,1612,England
343,180841832,1625,England
344,180841872,1623,England
345,180841940,1625,England
346,180841993,1625,England
347,180841999,1625,England
348,180842068,1625,England
349,180842105,1623,England
350,180842173,1623,England
351,180842250,1625,England
352,180842255,1625,England
353,180842392,1625,England
354,180842496,1623,England
355,180842452,1625,England
356,180842527,1625,England
357,180893279,1623,England
358,180842687,1625,England
359,180842820,1625,England
360,180843009,1625,England
361,180843025,1625,England
362,180843164,1623,England
363,180843066,1625,England
364,180843076,1625,England
365,180843102,1625,England
366,180843237,1623,England
367,180843201,1625,England
368,180058708,1639,England
369,180059101,1609,England
370,180059125,1609,England
371,180059048,1639,England
372,180059257,1609,England
373,180059195,1639,England
374,180059356,1609,England
375,180059393,1609,England
376,180059425,1609,England
377,180059512,1609,England
378,180059438,1639,England
379,180059597,1639,England
380,180059836,1609,England
381,180059888,1609,England
382,180059916,1609,England
383,180059850,1639,England
384,180059865,1639,England
385,180059869,1639,England
386,180060067,1609,England
387,180060081,1609,England
388,180060469,1609,England
389,180060128,1609,England
390,180060134,1609,England
391,180060247,1609,England
392,180060252,1609,England
393,180060456,1609,England
394,180060311,1639,England
395,179987003,10531,England
396,179986935,1611,England
397,179987021,10531,England
398,179986991,1611,England
399,179987023,1611,England
400,179987273,1611,England
401,179987400,10531,England
402,179987425,1611,England
403,179987606,10531,England
404,179987562,1611,England
405,180952785,1611,England
